sheet_code,originator,transect_ID,NCDOT_transect,sample_ID,sample_date,year,season,ghost_crabs,sm_mole_crabs,md_mole_crabs,lg_mole_crabs,coquina_clams,amphipods,worms
jan2007_C1_NCDOT,NCDOT,T05,,B1,2007/01/09 00:00:00,2007,winter,0,0,0,0,0,0,0
jan2007_C2_NCDOT,NCDOT,T05,,B1,2007/01/09 00:00:00,2007,winter,0,0,0,0,0,1,0
jan2007_C3_NCDOT,NCDOT,T04,,B1,2007/01/09 00:00:00,2007,winter,0,1,1,0,0,0,0
jan2007_C5_NCDOT,NCDOT,T03,,B1,2007/01/09 00:00:00,2007,winter,1,4,5,0,1,0,0
jan2007_S1_NCDOT,NCDOT,T16,,B1,2007/01/09 00:00:00,2007,winter,0,0,1,1,0,0,0
jan2007_S2_NCDOT,NCDOT,T16,,B1,2007/01/09 00:00:00,2007,winter,0,0,2,0,0,0,0
jan2007_S3_NCDOT,NCDOT,T15,,B1,2007/01/09 00:00:00,2007,winter,0,0,4,1,0,0,0
jan2007_S4_NCDOT,NCDOT,T15,,B1,2007/01/09 00:00:00,2007,winter,0,0,0,1,0,0,0
jan2007_S5_NCDOT,NCDOT,T14,,B1,2007/01/09 00:00:00,2007,winter,0,1,1,0,0,0,0
jan2007_S6_NCDOT,NCDOT,T14,,B1,2007/01/09 00:00:00,2007,winter,0,1,0,1,0,0,0
apr2007_C1_NCDOT,NCDOT,T05,,B1,2007/04/23 00:00:00,2007,spring,3,0,2,2,0,0,0
apr2007_C2_NCDOT,NCDOT,T05,,B1,2007/04/23 00:00:00,2007,spring,2,2,1,2,0,0,0
apr2007_C3_NCDOT,NCDOT,T04,,B1,2007/04/23 00:00:00,2007,spring,2,0,5,1,0,0,0
apr2007_C5_NCDOT,NCDOT,T03,,B1,2007/04/23 00:00:00,2007,spring,2,0,2,1,0,0,0
apr2007_S1_NCDOT,NCDOT,T16,,B1,2007/04/23 00:00:00,2007,spring,0,0,1,1,0,0,0
apr2007_S2_NCDOT,NCDOT,T16,,B1,2007/04/23 00:00:00,2007,spring,0,0,0,0,0,0,0
apr2007_S3_NCDOT,NCDOT,T15,,B1,2007/04/23 00:00:00,2007,spring,0,0,0,0,0,0,0
apr2007_S4_NCDOT,NCDOT,T15,,B1,2007/04/23 00:00:00,2007,spring,0,0,1,0,0,0,0
apr2007_S5_NCDOT,NCDOT,T14,,B1,2007/04/23 00:00:00,2007,spring,0,0,0,0,0,0,0
