transect_id,sample,sampling_date,season,CSI_transect,NCDOT_transect,origin,MOM_log_mean,MOM_log_sort,MOM_log_skew,MOM_log_kurt,FW_phi_mean,FW_phi_sort,FW_phi_skew,FW_phi_kurt,description,%vc_gravel,%c_gravel,%m_gravel,%f_gravel,%vf_gravel,%vc_sand,%c_sand,%m_sand,%f_sand,%vf_sand,
jan2012_C11N,S1,2012-01-11,winter,C11,NT59,NCDOT,1.4,0.77,-1.12,5.17,1.45,0.78,-0.11,1.19,Medium Sand,0.0,0.0,0.0,0.005429096,0.009631145,0.03815261,0.190763052,0.544176707,0.21034687,0.00150052,
jan2012_C11N,S2,2012-01-11,winter,C11,NT59,NCDOT,-0.53,0.99,0.53,2.78,-0.91,0.76,1.18,0.43,Very Coarse Sand,0.0,0.0,0.0,0.288774834,0.290759107,0.235055724,0.104356636,0.07497467100000000,0.004564825,0.001514202,
jan2012_C11N,S3,2012-01-11,winter,C11,NT59,NCDOT,1.54,0.76,-1.22,5.96,1.62,0.74,-0.06,1.16,Medium Sand,0.0,0.0,0.0,0.006256819,0.008864149,0.030241935,0.122983871,0.560483871,0.262129934,0.009039421,
jan2012_C11N,S4,2012-01-11,winter,C11,NT59,NCDOT,2.36,0.35,-0.94,6.05,2.38,0.39,-0.08,1.32,Fine Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.001040583,0.09781477600000000,0.844121771,0.05702287,
jan2012_C07N,S1,2012-01-11,winter,C07,NT61,NCDOT,0.49,1.58,0.11,1.73,0.19,1.71,0.25,0.51,Coarse Sand,0.0,0.0,0.0,0.152050664,0.180947324,0.157947686,0.087525151,0.206237425,0.157154917,0.058136834000000000,
jan2012_C07N,S2,2012-01-11,winter,C07,NT61,NCDOT,0.88,1.28,-0.62,2.35,0.82,1.48,-0.37,0.95,Coarse Sand,0.0,0.0,0.0,0.056005521000000000,0.090875767,0.11971831,0.17002012100000000,0.356136821,0.20022694600000000,0.007016514000000000,
jan2012_C07N,S3,2012-01-11,winter,C07,NT61,NCDOT,1.62,0.74,-1.07,4.98,1.69,0.73,-0.09,0.98,Medium Sand,0.0,0.0,0.0,0.001007103,0.004012977,0.02811245,0.12951807200000000,0.49497992,0.336367399,0.0060020790000000000,
jan2012_C07N,S4,2012-01-11,winter,C07,NT61,NCDOT,1.77,0.63,-0.19,3.71,1.79,0.67,0.07,0.91,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.008188332,0.07778915,0.557830092,0.323048911,0.033143515,
jan2012_C03N,S1,2012-01-11,winter,C03,NT63,NCDOT,1.63,0.64,-1.24,7.75,1.69,0.63,0.04,1.0,Medium Sand,0.0,0.0,0.0,0.001412781,0.005629472,0.013078471000000000,0.088531187,0.609657948,0.274673626,0.007016514000000000,
jan2012_C03N,S2,2012-01-11,winter,C03,NT63,NCDOT,1.65,0.79,-1.47,6.42,1.75,0.74,-0.14,1.01,Medium Sand,0.0,0.0,0.0,0.005837798000000000,0.011247629000000000,0.027135678000000000,0.097487437,0.47638191,0.373398057,0.00851149,
jan2012_C03N,S3,2012-01-11,winter,C03,NT63,NCDOT,1.87,0.65,-1.64,8.66,1.92,0.61,-0.22,0.8,Medium Sand,0.0,0.0,0.0,0.002418817,0.005629472,0.010060362,0.043259557000000000,0.437625755,0.48797536700000000,0.01303067,
jan2012_C03N,S4,2012-01-11,winter,C03,NT63,NCDOT,2.0,0.51,0.25,1.73,1.99,0.59,-0.08,0.8,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.001014199,0.47261663300000000,0.48999145900000000,0.03637771,
jan2012_T03N,S1,2012-01-11,winter,T03,NT67,NCDOT,0.37,1.35,-0.06,1.79,0.02,1.49,0.14,0.48,Coarse Sand,0.0,0.0,0.0,0.153889359,0.156663405,0.17386934700000000,0.120603015,0.262311558,0.130159937,0.00250338,
jan2012_T03N,S2,2012-01-11,winter,T03,NT67,NCDOT,0.58,1.16,-0.26,2.22,0.52,1.38,-0.17,0.96,Coarse Sand,0.0,0.0,0.0,0.063778541,0.077930001,0.191959799,0.264321608,0.288442211,0.112065811,0.0015020280000000000,
jan2012_T03N,S3,2012-01-11,winter,T03,NT67,NCDOT,1.47,0.97,-1.4,5.02,1.58,0.95,-0.25,1.37,Medium Sand,0.0,0.0,0.0,0.012670977,0.02648565,0.060240964,0.08935743,0.495983936,0.306758099,0.008502945,
jan2012_T03N,S4,2012-01-11,winter,T03,NT67,NCDOT,1.48,0.62,-0.92,6.67,1.51,0.59,-0.01,1.25,Medium Sand,0.0,0.0,0.0,0.000805682,0.003210382,0.021084337,0.133534137,0.6787148590000000,0.153147311,0.009503291,
jan2012_T07N,S1,2012-01-11,winter,T07,NT69,NCDOT,0.4,1.35,-0.06,1.78,0.34,1.52,-0.04,0.79,Coarse Sand,0.0,0.0,0.0,0.062096362,0.143520488,0.22567703100000000,0.17853560700000000,0.237713139,0.149959014,0.002498358,
jan2012_T07N,S2,2012-01-11,winter,T07,NT69,NCDOT,0.78,1.14,-0.49,2.38,0.77,1.27,-0.29,0.96,Coarse Sand,0.0,0.0,0.0,0.033112345,0.060074028,0.174348697,0.229458918,0.36773547100000000,0.132774687,0.002495854,
jan2012_T07N,S3,2012-01-11,winter,T07,NT69,NCDOT,1.72,0.6,-0.82,5.06,1.76,0.63,-0.02,0.9,Medium Sand,0.0,0.0,0.0,0.000201017,0.000800987,0.012024048,0.077154309,0.559118236,0.345210523,0.00549088,
jan2012_T07N,S4,2012-01-11,winter,T07,NT69,NCDOT,1.49,0.67,-1.25,7.14,1.55,0.64,-0.02,1.28,Medium Sand,0.0,0.0,0.0,0.004618776,0.006414323,0.024072217000000000,0.12036108300000000,0.657973922,0.18006394900000000,0.00649573,
jan2012_T11N,S1,2012-01-11,winter,T11,NT71,NCDOT,0.9,1.35,-0.52,2.05,0.89,1.5,-0.36,0.8,Coarse Sand,0.0,0.0,0.0,0.047966035,0.091312523,0.164328657,0.122244489,0.30861723400000000,0.25704515700000000,0.008485905,
jan2012_T11N,S2,2012-01-11,winter,T11,NT71,NCDOT,1.27,0.91,-1.0,3.97,1.32,0.94,-0.21,1.19,Medium Sand,0.0,0.0,0.0,0.005424377000000000,0.017621715,0.077154309,0.196392786,0.495991984,0.203920634,0.0034941960000000000,
jan2012_T11N,S3,2012-01-11,winter,T11,NT71,NCDOT,1.63,0.6,-0.65,4.5,1.67,0.64,0.02,0.95,Medium Sand,0.0,0.0,0.0,0.000201219,0.00080179,0.01003009,0.12136409200000000,0.5777332,0.287371251,0.002498358,
jan2012_T11N,S4,2012-01-11,winter,T11,NT71,NCDOT,1.68,0.41,1.38,4.6,1.66,0.49,0.2,1.02,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.016032064,0.780561122,0.191426713,0.011980101000000000,
jan2012_T15N,S1,2012-01-11,winter,T15,NT73,NCDOT,0.69,1.06,-0.32,2.37,0.69,1.12,-0.09,0.91,Coarse Sand,0.0,0.0,0.0,0.014862932000000000,0.0432533,0.205410822,0.304609218,0.333667335,0.097198051,0.000998342,
jan2012_T15N,S2,2012-01-11,winter,T15,NT73,NCDOT,1.24,0.78,-0.69,3.53,1.25,0.81,-0.13,1.04,Medium Sand,0.0,0.0,0.0,0.001206102,0.004805922,0.058116232000000000,0.279559118,0.498997996,0.15681545800000000,0.000499171,
jan2012_T15N,S3,2012-01-11,winter,T15,NT73,NCDOT,1.13,0.97,-0.64,2.89,1.18,1.02,-0.17,0.96,Medium Sand,0.0,0.0,0.0,0.009231376,0.016820728,0.107214429,0.26152304600000000,0.401803607,0.202408472,0.000998342,
jan2012_T15N,S4,2012-01-11,winter,T15,NT73,NCDOT,1.79,0.5,0.44,3.5,1.79,0.56,0.16,0.81,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.002014099,0.025176234,0.64652568,0.306216615,0.020067373,
apr2012_C11N,S1,2012-04-17,spring,C11,NT59,NCDOT,-0.81,0.73,0.35,2.82,-1.07,0.68,0.3,0.42,Very Fine Gravel,0.0,0.0,0.0,0.176416241,0.312072248,0.428428428,0.07007007,0.012012012000000000,0.001001001,0.0,
apr2012_C11N,S2,2012-04-17,spring,C11,NT59,NCDOT,0.02,0.78,-0.33,3.41,0.01,0.86,-0.29,1.23,Coarse Sand,0.0,0.0,0.0,0.039900779,0.07921834,0.277277277,0.5425425430000000,0.058058058000000000,0.002005661,0.000997342,
apr2012_C11N,S3,2012-04-17,spring,C11,NT59,NCDOT,0.59,0.63,-0.44,4.03,0.62,0.63,-0.01,1.4,Coarse Sand,0.0,0.0,0.0,0.00242435,0.009660242,0.102719033,0.6938569990000000,0.188318228,0.002519464,0.000501684,
apr2012_C11N,S4,2012-04-17,spring,C11,NT59,NCDOT,1.4,0.42,0.1,4.87,1.38,0.49,-0.02,0.96,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.001003009,0.207622869,0.7231695090000000,0.065206585,0.002998029,
