“Dark” Mineral Sands Sampling Results

ID,year,area,season,sample ID,Survey Datetime,zone,pct dark
31,2014,Nourished,summer,S4,2014-07-14,Upper Beach,4.076
29,2014,Nourished,summer,S3,2014-07-14,Swash Zone,2.733
27,2014,Nourished,summer,S2,2014-07-14,Swash Zone,2.296
9,2014,Control,summer,S1,2014-07-14,Swash Zone,3.122
11,2014,Control,summer,S2,2014-07-14,Swash Zone,2.718
13,2014,Control,summer,S3,2014-07-14,Swash Zone,2.690
15,2014,Control,summer,S4,2014-07-14,Upper Beach,5.122
25,2014,Nourished,summer,S1,2014-07-14,Swash Zone,2.997
1,2014,Control,autumn,S1,2014-09-29,Swash Zone,5.276
23,2014,Nourished,autumn,S4,2014-09-29,Upper Beach,2.323
21,2014,Nourished,autumn,S3,2014-09-29,Swash Zone,3.287
19,2014,Nourished,autumn,S2,2014-09-29,Swash Zone,2.699
17,2014,Nourished,autumn,S1,2014-09-29,Swash Zone,3.752
7,2014,Control,autumn,S4,2014-09-29,Upper Beach,5.014
5,2014,Control,autumn,S3,2014-09-29,Swash Zone,2.969
3,2014,Control,autumn,S2,2014-09-29,Swash Zone,3.426
71,2015,Nourished,spring,S4,2015-04-28,Upper Beach,3.323
69,2015,Nourished,spring,S3,2015-04-28,Swash Zone,3.235
65,2015,Nourished,spring,S1,2015-04-28,Swash Zone,3.314
47,2015,Control,spring,S4,2015-04-28,Upper Beach,6.279
45,2015,Control,spring,S3,2015-04-28,Swash Zone,3.092
67,2015,Nourished,spring,S2,2015-04-28,Swash Zone,2.585
41,2015,Control,spring,S1,2015-04-28,Swash Zone,2.951
43,2015,Control,spring,S2,2015-04-28,Swash Zone,2.873
79,2015,Nourished,summer,S4,2015-08-04,Upper Beach,3.743
77,2015,Nourished,summer,S3,2015-08-04,Swash Zone,4.176
75,2015,Nourished,summer,S2,2015-08-04,Swash Zone,3.024
73,2015,Nourished,summer,S1,2015-08-04,Swash Zone,1.658
49,2015,Control,summer,S1,2015-08-04,Swash Zone,2.171
