transect_id,sheet_ID,sample_dat,area,year,season,latitude,longitude,transect_I,sample_ID,image_ID,light_dark,count,total_area,avg_size,percent_ar,mean
jul2014_C01C,jul2014_C01_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S1,I1,D,3,0.064,0.021,0.033,255
jul2014_C01C,jul2014_C01_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S1,I1,L,165,46.942,0.284,23.941,255
jul2014_C01C,jul2014_C01_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S1,I2,D,5,0.148,0.03,0.076,255
jul2014_C01C,jul2014_C01_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S1,I2,L,245,57.963,0.237,29.561,255
jul2014_C01C,jul2014_C01_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S1,I3,D,3,0.155,0.052,0.079,255
jul2014_C01C,jul2014_C01_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S1,I3,L,177,45.578,0.258,23.245,255
jul2014_C01C,jul2014_C01_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S2,I1,D,15,0.604,0.04,0.308,255
jul2014_C01C,jul2014_C01_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S2,I1,L,234,29.93,0.128,15.264,255
jul2014_C01C,jul2014_C01_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S2,I2,D,13,0.429,0.033,0.219,255
jul2014_C01C,jul2014_C01_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S2,I2,L,278,47.296,0.17,24.121,255
jul2014_C01C,jul2014_C01_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S2,I3,D,17,0.318,0.019,0.162,255
jul2014_C01C,jul2014_C01_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S2,I3,L,368,39.796,0.108,20.296,255
jul2014_C01C,jul2014_C01_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S3,I1,D,13,0.34,0.026,0.173,255
jul2014_C01C,jul2014_C01_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S3,I1,L,277,41.663,0.15,21.248,255
